,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
15,10016,6886.213231000001,1.0,1611.7,0.0,1611.7,2301.4912670000003,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,Target
21,10022,6369.531318,1.0,6359.95,5910.04,449.91,229.02824500000003,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.9590510000003,1659.775075,0.0,12,Target
24,10025,5368.5712189999995,1.0,0.0,0.0,0.0,798.9498629999999,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,Target
28,10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,Target
30,10031,12136.219959999999,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323490999999,3292.01503,0.0,12,Target
32,10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.1188760000002,2506.745366,0.0,12,Target
36,10037,7427.076940999999,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,Target
38,10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,Target
44,10046,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.3415009999999,1318.71492,0.0,12,Target
50,10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297345999999,1012.4159609999999,0.0,8,Target
59,10061,5493.90406,1.0,229.0,0.0,229.0,970.5913320000001,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.0261699999999,0.0,12,Target
70,10073,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,6250.0,1288.214909,2180.881868,0.0,12,Target
75,10079,5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,6000.0,1990.044998,2161.428274,0.0,12,Target
79,10083,6593.820643999999,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,2503.4023399999996,0.0,12,Target
86,10090,7069.9503859999995,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.8738969999995,1876.262988,0.0,12,Target
87,10092,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934000001,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,Target
89,10094,6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,Target
90,10095,9381.255094,1.0,5100.07,1147.83,3952.24,370.73719700000004,1.0,0.25,0.916667,0.083333,1,46,9000.0,6409.4963450000005,9827.045323,0.0,12,Target
107,10112,4986.400804,1.0,0.0,0.0,0.0,5439.467563,0.0,0.0,0.0,0.583333,40,0,8000.0,1241.538024,1439.2308990000001,0.0,12,Target
109,10114,6644.201650999999,1.0,4478.75,2721.59,1757.16,7205.520805,1.0,0.916667,1.0,0.583333,21,64,9000.0,10857.94321,2469.571326,0.083333,12,Target
112,10117,5322.994094,1.0,2812.2,857.12,1955.08,2510.3529510000003,1.0,0.25,1.0,0.333333,8,81,8500.0,1509.423237,1834.0315690000002,0.0,12,Target
113,10118,6458.562089999999,1.0,0.0,0.0,0.0,3360.2287939999997,0.0,0.0,0.0,0.25,11,0,7000.0,1277.7677800000001,2760.115734,0.0,12,Target
120,10125,8504.876253,1.0,6724.26,4100.08,2624.18,1686.599777,1.0,0.916667,1.0,0.5,10,85,17000.0,1888.7568609999998,2167.446204,0.0,12,Target
124,10130,14224.115409999999,1.0,0.0,0.0,0.0,4614.427403,0.0,0.0,0.0,0.333333,9,0,19000.0,3066.614272,3406.258999,0.0,12,Target
128,10134,11167.23403,1.0,150.64,150.64,0.0,8362.154254000001,0.083333,0.083333,0.0,0.5,14,1,17000.0,2606.059389,2894.077159,0.0,12,Target
131,10137,4637.848144,1.0,1271.12,351.54,919.58,0.0,0.833333,0.25,0.833333,0.0,0,33,5000.0,1906.032044,3572.279251,0.0,12,Target
133,10139,9354.06045,1.0,796.33,796.33,0.0,13748.471309999999,0.083333,0.083333,0.0,0.666667,16,1,13000.0,10664.65866,2600.875721,0.083333,12,Target
138,10144,19043.13856,1.0,22009.92,9449.07,12560.85,0.0,1.0,0.75,1.0,0.0,0,216,18000.0,23018.57583,18621.01331,0.0,12,Target
142,10148,5347.814547,1.0,0.0,0.0,0.0,4002.3533840000005,0.0,0.0,0.0,0.5,9,0,7000.0,0.0,312.343947,0.0,12,Target
143,10149,10598.467770000001,1.0,2084.48,1300.48,784.0,0.0,0.666667,0.416667,0.583333,0.0,0,13,21500.0,3219.621433,3068.125648,0.0,12,Target
150,10156,7679.629040000001,1.0,4059.93,0.0,4059.93,555.469352,0.583333,0.0,0.5,0.166667,7,14,7000.0,3685.6106200000004,12854.9397,0.0,12,Target
153,10159,13673.079609999999,1.0,9792.23,3959.81,5832.42,2444.445738,1.0,0.75,1.0,0.75,26,216,20000.0,11717.30794,6042.391629,0.0,12,Target
156,10162,5837.105453,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15,46,7900.0,0.0,312.343947,0.0,12,Target
165,10171,5800.587339,1.0,0.0,0.0,0.0,369.950794,0.0,0.0,0.0,0.083333,1,0,6500.0,1346.365584,1972.526015,0.0,12,Target
174,10180,11972.011040000001,1.0,5715.0,4685.54,1029.46,1626.351366,1.0,1.0,1.0,0.166667,3,90,14000.0,4639.513745,3192.3060179999998,0.0,12,Target
193,10200,5462.897068,1.0,1453.32,0.0,1453.32,0.0,0.5,0.0,0.5,0.0,0,18,16500.0,1382.269127,1755.253802,0.0,12,Target
195,10202,5588.846272,1.0,3507.35,603.75,2903.6,0.0,0.916667,0.166667,0.833333,0.0,0,34,11500.0,1412.597253,1825.1765030000001,0.0,12,Target
199,10206,5698.539876,1.0,47.55,0.0,47.55,2039.52804,0.166667,0.0,0.166667,0.75,14,2,6000.0,2976.579866,3463.1749619999996,0.0,12,Target
203,10211,8350.145568,1.0,1989.28,842.8,1146.48,893.7579029999999,0.333333,0.166667,0.166667,0.083333,2,8,14000.0,4720.900413,2557.0445760000002,0.0,12,Target
204,10212,4559.7792340000005,1.0,10848.5,8208.0,2640.5,0.0,1.0,0.666667,1.0,0.0,0,123,7500.0,9423.715495,2925.275522,0.0,12,Target
207,10215,7201.736985,1.0,987.1,862.1,125.0,5468.620604,0.333333,0.333333,0.083333,0.25,16,9,10500.0,1941.5411579999998,2391.987571,0.0,12,Target
208,10216,6467.885013,1.0,1464.14,978.71,485.43,3947.86784,0.833333,0.583333,0.666667,0.416667,10,23,11500.0,1658.563509,1887.4135170000002,0.0,12,Target
210,10218,5635.860679,1.0,393.62,153.72,239.9,5933.467329,0.916667,0.916667,0.166667,0.75,24,15,10000.0,1919.630466,1731.5493850000003,0.0,12,Target
220,10229,9047.621884,1.0,11188.62,6099.16,5089.46,0.0,1.0,0.75,1.0,0.0,0,151,10000.0,11994.41815,8517.258683,0.0,12,Target
223,10232,5431.622968,1.0,1824.16,1598.56,225.6,0.0,1.0,0.916667,0.75,0.0,0,23,14500.0,1508.0164519999998,1370.519926,0.0,12,Target
224,10233,6571.484039,1.0,9325.22,9325.22,0.0,0.0,0.333333,0.333333,0.0,0.0,0,5,8500.0,11036.72668,1824.6801309999998,0.0,12,Target
236,10245,7623.224897,1.0,300.0,0.0,300.0,2800.7283429999998,0.5,0.0,0.416667,0.25,3,6,12000.0,1975.9741829999998,1774.5843329999998,0.0,12,Target
248,10257,9612.21512,1.0,319.92,0.0,319.92,13439.5704,1.0,0.0,1.0,0.416667,12,12,12000.0,10993.892109999999,2501.560923,0.0,12,Target
249,10258,7938.559134,1.0,3677.52,3543.73,133.79,0.0,1.0,1.0,0.5,0.0,0,98,12500.0,2657.856602,1912.2985440000002,0.0,12,Target
254,10263,5335.302925,1.0,0.0,0.0,0.0,468.958688,0.0,0.0,0.0,0.166667,2,0,6000.0,1350.318606,1249.937085,0.0,12,Target
258,10269,5570.190127000001,1.0,1607.88,0.0,1607.88,0.0,1.0,0.0,1.0,0.0,0,84,13500.0,1583.411686,2216.638394,0.0,12,Target
263,10274,7755.698606999999,1.0,8533.54,4072.76,4460.78,7540.30735,1.0,0.5,0.833333,0.5,12,72,10000.0,4758.209146,7256.951816,0.0,6,Target
265,10276,8097.334733,1.0,3999.92,200.0,3799.92,0.0,1.0,0.083333,1.0,0.0,0,14,7500.0,5624.074339,9952.672511,0.0,12,Target
273,10284,5131.319584000001,1.0,32539.78,26547.43,5992.35,0.0,1.0,1.0,1.0,0.0,0,98,11500.0,26652.34432,1971.129435,0.083333,12,Target
